OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
8c937cd8-8afb-4816-8c9c-c688d8bf571c,1,1532,TrailBlaze Hiking Pants,2,89.99,179.98,0.0,15.75
eb0de437-e029-4afb-afd5-9e5c7adf82ae,1,1533,RainGuard Hiking Jacket,3,169.99,509.97,0.0,44.62
eb0de437-e029-4afb-afd5-9e5c7adf82ae,2,1571,CozyNights Sleeping Bag,2,159.99,319.98,0.0,28.0
eb0de437-e029-4afb-afd5-9e5c7adf82ae,3,1511,Alpine Explorer Tent,2,449.99,899.98,0.0,78.75
eb0de437-e029-4afb-afd5-9e5c7adf82ae,4,1553,Adventure Dining Table,1,149.99,149.99,0.0,13.12
6f9ecc14-46e7-4bdf-9feb-9a0d85a6addf,1,1561,EcoFire Camping Stove,1,124.99,124.99,0.0,10.94
df9780a0-abb9-449f-b724-17e1f62cf4ea,1,1541,TrekReady Hiking Boots,2,179.99,359.98,0.0,31.5
df9780a0-abb9-449f-b724-17e1f62cf4ea,2,1511,Alpine Explorer Tent,1,449.99,449.99,0.0,39.37
df9780a0-abb9-449f-b724-17e1f62cf4ea,3,1542,TrailWalker Hiking Shoes,2,129.99,259.98,0.0,22.75
df9780a0-abb9-449f-b724-17e1f62cf4ea,4,1511,Alpine Explorer Tent,3,449.99,1349.97,0.0,118.12
4c892b66-140d-4d87-a74f-ebb0ec9c8937,1,1553,Adventure Dining Table,2,149.99,299.98,0.0,26.25
6d4768dc-09cc-486d-ad81-f564703a5177,1,1511,Alpine Explorer Tent,2,449.99,899.98,0.0,78.75
6d4768dc-09cc-486d-ad81-f564703a5177,2,1553,Adventure Dining Table,3,149.99,449.97,0.0,39.37
6d4768dc-09cc-486d-ad81-f564703a5177,3,1521,Adventurer Pro Backpack,2,189.99,379.98,0.0,33.25
6d4768dc-09cc-486d-ad81-f564703a5177,4,1522,SummitClimber Backpack,3,219.99,659.97,0.0,57.75
9f16b2f8-8acc-4a50-80c1-20b87e99aec4,1,1512,SkyView 2-Person Tent,1,329.99,329.99,0.0,28.87
9f16b2f8-8acc-4a50-80c1-20b87e99aec4,2,1561,EcoFire Camping Stove,1,124.99,124.99,0.0,10.94
9f16b2f8-8acc-4a50-80c1-20b87e99aec4,3,1512,SkyView 2-Person Tent,2,329.99,659.98,0.0,57.75
4f751a1b-75b5-48a4-a3e9-45386642abf6,1,1521,Adventurer Pro Backpack,2,189.99,379.98,0.0,33.25
d9819cc5-615d-4f2b-a81e-6c36f54c909f,1,1532,TrailBlaze Hiking Pants,3,89.99,269.97,0.0,23.62
